"","id","p1","p1freq","p2","p2freq","p3","p3freq","p4","p4freq","p5","p5freq","p6","p6freq","p7","p7freq","p8","p8freq","p9","p9freq","p10","p10freq","p11","p11freq","p12","p12freq","p13","p13freq","p14","p14freq","p15","p15freq","p16","p16freq","p17","p17freq","p18","p18freq","p19","p19freq"
"1",1,"Klubokawiarnia ""Grawitacja""","Kilka razy w miesiącu","Pawilony","Kilka razy w roku","Francuska na Saskiej Kępie","Kilka razy w roku","Basen Wodny Park na Merliniego","Kilka razy w roku","","","","","Cafe Rock'n Roll","Kilka razy w miesiącu","Plan B","Kilka razy w roku","Sen Pszczoły","Kilka razy w roku","Pola Mokotowskie","Kilka razy w roku","Kino Muranów","Kilka razy w roku","Kino Luna","Kilka razy w roku","Cafe Fenomenalna w BUW-ie","Kilka razy w roku","BUW","Kilka razy w miesiącu","","","","","","","","","",""
"2",2,"Kawki na Stawki","Przynajmniej kilka razy w tygodniu","SAM","Kilka razy w miesiącu","Charlotte","Kilka razy w miesiącu","Bieżnia w parku Traugutta","Przynajmniej kilka razy w tygodniu","Korty na Warszawiance","Kilka razy w miesiącu","scianka i squash na obozowej 60- KOŁO","Kilka razy w miesiącu","Capitol","Kilka razy w miesiącu","Platinnium","Kilka razy w miesiącu","mono bar","Kilka razy w miesiącu","teatr na woli","Kilka razy w roku","Bella napoli","Kilka razy w miesiącu","Arkadia","Kilka razy w miesiącu","Trasy rowerowe wszelakie","Kilka razy w miesiącu","kino muranow","Kilka razy w miesiącu","BUW","Kilka razy w miesiącu","Stare miasto","Kilka razy w miesiącu","park przy pałacu w Wilanowie","Kilka razy w miesiącu","Filharmonia narodowa ","Kilka razy w roku","Cytadela warszawska","Kilka razy w miesiącu"
"3",3,"nie ma takiego miejsca","Raz w roku lub rzadziej","","","","","akademia tańca Izadory","Przynajmniej kilka razy w tygodniu","","","","","glam","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","",""
"4",4,"Kalimba","Kilka razy w miesiącu","Pawilon Kulturalny","Kilka razy w roku","","","Park Bródnowski","Kilka razy w miesiącu","Park w Jabłonnie","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5",5,"Bulwary nad Wisłą","Kilka razy w miesiącu","izzeria przy Nowolipkach","Kilka razy w miesiącu","Plac Zbawiciela","Kilka razy w miesiącu","Basen przy Polnej","Kilka razy w miesiącu","Bulwary nad Wisłą","Kilka razy w miesiącu","Park Morskie Oko","Kilka razy w miesiącu","Plan B","Kilka razy w miesiącu","Grawitacja","Kilka razy w roku","Glam","Kilka razy w roku","Kino Muranów","Kilka razy w miesiącu","Kino Luna","Kilka razy w miesiącu","Kinoteka","Kilka razy w roku","Kino Kultura","Kilka razy w miesiącu","","","","","","","","","","","",""
"6",6,"kawiarnia Hoża51","Raz w roku lub rzadziej","Sphinx w centrum","Raz w roku lub rzadziej","Kebab przy Emilli Plater, nie pamiętam nazwy","Raz w roku lub rzadziej","Park Arkadia","Kilka razy w miesiącu","Park Dolina Służewiecka","Kilka razy w roku","Las Kabacki","Kilka razy w roku","","","","","","","Kawiarnia Hoża51","Kilka razy w roku","Ścianka wspinaczkowa na Warszawiance","Kilka razy w roku","ścianka wspinaczkowa na Nowowiejskiej","Kilka razy w roku","Boulderownia Crux","Kilka razy w roku","Złote Tarasy","Kilka razy w roku","CH Arkadia","Kilka razy w roku","Galeria Mokotów","Kilka razy w roku","","","","","",""
"7",7,"Wrzenie Świata","Kilka razy w miesiącu","Pawilony","Kilka razy w miesiącu","","","Filtry","Przynajmniej kilka razy w tygodniu","Pola Mokotowskie","Kilka razy w miesiącu","","","Dada","Kilka razy w miesiącu","","","","","Wrzenie Świata","Kilka razy w miesiącu","Pola Mokotowskie","Kilka razy w miesiącu","Kinoteka","Kilka razy w miesiącu","Kino Muranów","Kilka razy w miesiącu","","Kilka razy w miesiącu","","","","","","","","","",""
"8",8,"Cafe Rock&Roll","Kilka razy w miesiącu","Boom Boom Room","Kilka razy w roku","Przechyły","Kilka razy w roku","Las Bemowski","Przynajmniej kilka razy w tygodniu","Siłownia S4","Kilka razy w miesiącu","","","","","","","","","Plaża nad Wisłą","Kilka razy w miesiącu","","Kilka razy w roku","","","","","","","","","","","","","","","",""
"9",9,"pawilony","Kilka razy w miesiącu","bary/restauracje nowy świat","Kilka razy w miesiącu","local - natolin","Kilka razy w roku","pole mokotowskie","Kilka razy w roku","powsin","Kilka razy w roku","","","pawilony","Kilka razy w miesiącu","do dna","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","",""
"10",10,"Eufemia","Przynajmniej kilka razy w tygodniu","Solec 44","Kilka razy w miesiącu","Plac Zabaw","Kilka razy w miesiącu","Hutnik","Kilka razy w miesiącu","Agrykola","Kilka razy w miesiącu","Drukarz","Kilka razy w miesiącu","Eufemia","Przynajmniej kilka razy w tygodniu","Solec","Kilka razy w miesiącu","Plac Zabaw","Kilka razy w miesiącu","Barka","Kilka razy w roku","Rip Powiększenie","Kilka razy w miesiącu","Chmury","Kilka razy w roku","Polonez","Kilka razy w roku","Aioli","Kilka razy w miesiącu","","","","","","","","","",""
